(1, 6, 5, 0, 9, 2, 3, 4, 7, 8): [7, 11, 13, 13, 35]
(3, 4, 7, 0, 9, 2, 1, 6, 5, 8): [7, 11, 13, 13, 34]
(3, 4, 7, 0, 9, 2, 5, 6, 1, 8): [8, 11, 14, 14, 34]
(1, 2, 5, 0, 3, 6, 9, 4, 7, 8): [7, 11, 13, 13, 33]
(1, 4, 7, 0, 9, 2, 5, 6, 3, 8): [8, 11, 14, 14, 32]
(1, 2, 5, 0, 9, 6, 3, 4, 7, 8): [8, 12, 15, 15, 32]
(5, 2, 7, 0, 1, 4, 9, 6, 3, 8): [8, 12, 15, 15, 32]
(3, 6, 7, 0, 1, 2, 9, 4, 5, 8): [8, 12, 15, 15, 31]
(1, 4, 3, 0, 7, 2, 9, 6, 5, 8): [8, 12, 15, 15, 31]
(1, 6, 3, 0, 7, 2, 9, 4, 5, 8): [8, 12, 14, 14, 30]
(3, 4, 5, 0, 7, 2, 9, 6, 1, 8): [8, 12, 15, 15, 29]
(3, 4, 7, 0, 9, 2, 5, 8, 1, 6): [8, 12, 15, 15, 29]
(3, 8, 7, 0, 1, 2, 9, 4, 5, 6): [8, 12, 15, 15, 26]
(1, 4, 7, 0, 3, 2, 5, 8, 9, 6): [8, 13, 15, 15, 25]
(1, 6, 5, 0, 7, 2, 9, 4, 3, 8): [8, 12, 15, 15, 21]
(1, 6, 7, 0, 9, 2, 5, 4, 3, 8): [8, 12, 15, 15, 19]
(3, 4, 7, 0, 9, 2, 1, 8, 5, 6): [9, 12, 15, 15, 19]
(1, 6, 7, 0, 3, 2, 9, 4, 5, 8): [8, 12, 15, 15, 13]
