(1, 6, 7, 0, 5, 2, 9, 4, 3, 10, 11, 8): [8, 12, 15]
(3, 4, 7, 0, 11, 2, 1, 8, 9, 6, 5, 10): [8, 12, 15]
(1, 6, 9, 0, 7, 2, 3, 4, 5, 10, 11, 8): [8, 12, 15]
(7, 4, 9, 0, 11, 2, 1, 6, 5, 8, 3, 10): [8, 12, 15]
(1, 6, 9, 0, 7, 2, 11, 4, 5, 10, 3, 8): [8, 12, 15]
(3, 8, 11, 0, 9, 2, 1, 4, 5, 6, 7, 10): [8, 12, 15]
(5, 6, 9, 0, 1, 2, 11, 4, 7, 8, 3, 10): [8, 12, 15]
(1, 6, 5, 0, 9, 2, 11, 4, 7, 10, 3, 8): [8, 12, 15]
(1, 10, 9, 0, 11, 2, 7, 4, 5, 6, 3, 8): [8, 12, 15]
(1, 6, 9, 0, 5, 2, 11, 4, 7, 10, 3, 8): [8, 12, 15]
(1, 8, 9, 0, 7, 2, 11, 4, 5, 6, 3, 10): [8, 12, 15]
(3, 4, 7, 0, 9, 2, 11, 8, 1, 6, 5, 10): [8, 12, 15]
(3, 8, 7, 0, 1, 2, 11, 4, 5, 6, 9, 10): [8, 12, 15]
(3, 6, 9, 0, 1, 2, 11, 4, 5, 8, 7, 10): [8, 12, 15]
(1, 2, 5, 0, 3, 6, 9, 4, 7, 10, 11, 8): [8, 12, 15]
(1, 4, 7, 0, 9, 2, 3, 8, 11, 6, 5, 10): [8, 12, 15]
(1, 8, 7, 0, 11, 2, 9, 4, 5, 6, 3, 10): [8, 12, 15]
(1, 6, 3, 0, 7, 2, 9, 4, 5, 10, 11, 8): [8, 12, 15]
(3, 4, 11, 0, 7, 2, 5, 8, 9, 6, 1, 10): [8, 12, 15]
(3, 4, 11, 0, 7, 2, 1, 8, 5, 6, 9, 10): [8, 12, 15]
(3, 8, 9, 0, 11, 2, 1, 4, 5, 6, 7, 10): [8, 12, 15]
(1, 8, 11, 0, 7, 2, 9, 4, 3, 6, 5, 10): [8, 12, 15]
(1, 4, 11, 0, 7, 2, 5, 8, 3, 6, 9, 10): [8, 12, 15]
(3, 4, 7, 0, 11, 2, 5, 8, 1, 6, 9, 10): [8, 12, 15]
(3, 4, 7, 0, 9, 2, 5, 8, 11, 6, 1, 10): [8, 12, 15]
(1, 8, 5, 0, 9, 2, 3, 4, 11, 6, 7, 10): [8, 12, 15]
(5, 6, 7, 0, 9, 2, 11, 4, 3, 8, 1, 10): [8, 12, 15]
(1, 10, 9, 0, 7, 2, 11, 4, 5, 6, 3, 8): [8, 12, 15]
(1, 6, 5, 0, 9, 2, 3, 4, 7, 10, 11, 8): [8, 12, 15]
(3, 6, 7, 0, 9, 2, 11, 4, 5, 8, 1, 10): [8, 12, 15]
(3, 6, 9, 0, 1, 2, 11, 4, 7, 8, 5, 10): [8, 12, 15]
(1, 4, 5, 0, 7, 2, 3, 8, 11, 6, 9, 10): [8, 12, 15]
(1, 8, 5, 0, 11, 2, 9, 4, 3, 6, 7, 10): [8, 12, 15]
(3, 8, 7, 0, 11, 2, 1, 4, 5, 6, 9, 10): [8, 12, 15]
(1, 6, 7, 0, 9, 2, 11, 4, 3, 8, 5, 10): [8, 12, 15]
(1, 8, 5, 0, 7, 2, 11, 4, 3, 6, 9, 10): [8, 12, 15]
(1, 4, 7, 0, 11, 2, 9, 10, 5, 6, 3, 8): [8, 12, 15]
