(3, 4, 7, 0, 11, 2, 1, 8, 9, 6, 5, 10): [8, 12, 15, 15, 37, 37]
(1, 2, 5, 0, 3, 6, 9, 4, 7, 10, 11, 8): [8, 12, 15, 15, 37, 37]
(3, 4, 11, 0, 7, 2, 5, 8, 9, 6, 1, 10): [8, 12, 15, 15, 37, 37]
(1, 6, 7, 0, 5, 2, 9, 4, 3, 10, 11, 8): [8, 12, 15, 15, 36, 36]
(3, 8, 7, 0, 11, 2, 1, 4, 5, 6, 9, 10): [8, 12, 15, 15, 36, 36]
(1, 10, 5, 0, 9, 2, 3, 4, 11, 6, 7, 8): [9, 12, 16, 16, 36, 36]
(1, 6, 5, 0, 9, 2, 11, 4, 3, 8, 7, 10): [9, 12, 16, 16, 36, 36]
(1, 8, 7, 0, 5, 2, 11, 4, 3, 6, 9, 10): [9, 12, 16, 16, 36, 36]
(5, 2, 9, 0, 3, 6, 11, 4, 1, 8, 7, 10): [9, 13, 16, 16, 36, 36]
(1, 4, 5, 0, 11, 2, 3, 8, 9, 6, 7, 10): [9, 13, 16, 16, 36, 36]
(1, 6, 9, 0, 7, 2, 3, 4, 5, 10, 11, 8): [8, 12, 15, 15, 35, 35]
(3, 4, 11, 0, 7, 2, 1, 8, 5, 6, 9, 10): [8, 12, 15, 15, 35, 35]
(1, 6, 5, 0, 9, 2, 3, 4, 7, 10, 11, 8): [8, 12, 15, 15, 35, 35]
(1, 8, 5, 0, 11, 2, 9, 4, 3, 6, 7, 10): [8, 12, 15, 15, 35, 35]
(1, 8, 9, 0, 5, 2, 3, 4, 11, 6, 7, 10): [8, 13, 15, 15, 35, 35]
(1, 10, 5, 0, 9, 2, 11, 4, 3, 6, 7, 8): [8, 13, 15, 15, 35, 35]
(3, 6, 7, 0, 9, 2, 11, 4, 1, 8, 5, 10): [8, 12, 16, 15, 35, 35]
(3, 6, 9, 0, 1, 2, 11, 4, 7, 8, 5, 10): [8, 12, 15, 16, 35, 35]
(1, 8, 9, 0, 7, 2, 11, 4, 3, 6, 5, 10): [9, 12, 16, 16, 35, 35]
(1, 6, 9, 0, 11, 2, 3, 4, 7, 8, 5, 10): [9, 12, 16, 16, 35, 35]
(1, 6, 7, 0, 9, 2, 11, 4, 3, 10, 5, 8): [8, 13, 16, 16, 35, 35]
(1, 4, 7, 0, 11, 2, 5, 8, 9, 6, 3, 10): [9, 13, 16, 16, 35, 35]
(5, 2, 9, 0, 3, 6, 11, 4, 7, 8, 1, 10): [9, 12, 17, 17, 35, 35]
(1, 10, 11, 0, 7, 2, 9, 4, 5, 6, 3, 8): [9, 12, 17, 17, 35, 35]
(1, 10, 11, 0, 9, 2, 7, 4, 5, 6, 3, 8): [10, 12, 17, 17, 35, 35]
(7, 4, 9, 0, 11, 2, 5, 6, 1, 8, 3, 10): [10, 12, 17, 17, 35, 35]
(7, 4, 11, 0, 9, 2, 1, 10, 5, 6, 3, 8): [10, 12, 17, 17, 35, 35]
(3, 10, 5, 0, 9, 2, 1, 4, 11, 6, 7, 8): [9, 13, 17, 17, 35, 35]
(3, 6, 7, 0, 1, 2, 9, 4, 5, 10, 11, 8): [9, 13, 17, 17, 35, 35]
(3, 8, 7, 0, 9, 2, 1, 4, 11, 6, 5, 10): [10, 13, 17, 17, 35, 35]
(1, 8, 9, 0, 7, 2, 11, 4, 5, 6, 3, 10): [8, 12, 15, 15, 36, 34]
(3, 4, 11, 0, 7, 2, 1, 8, 9, 6, 5, 10): [9, 13, 16, 15, 36, 34]
(3, 8, 7, 0, 1, 2, 11, 4, 5, 6, 9, 10): [8, 12, 15, 15, 35, 34]
(1, 8, 7, 0, 9, 2, 11, 4, 5, 6, 3, 10): [9, 13, 16, 16, 35, 34]
(1, 8, 5, 0, 9, 2, 7, 4, 11, 6, 3, 10): [9, 12, 16, 15, 35, 33]
(1, 8, 3, 0, 11, 2, 9, 4, 5, 6, 7, 10): [9, 13, 16, 16, 35, 32]
